10 2
1, Owner 1, 901.0142, 920.55133, 956.78735, 990.645
2, Owner 2, 990.645, 1056.1506, 1061.3478, 1074.8605
3, Owner 3, 1074.8605, 1171.7471, 1220.2336, 1260.7334
4, Owner 4, 1260.7334, 1309.1783, 1405.2129, 1476.5128
5, Owner 5, 1476.5128, 1542.5238, 1639.5977, 1697.6274
6, Owner 6, 1697.6274, 1721.0802, 1768.3958, 1844.0105
7, Owner 7, 1844.0105, 1933.6544, 2009.7438, 2010.512
8, Owner 8, 2010.512, 2046.5962, 2057.636, 2123.6292
9, Owner 9, 2123.6292, 2215.4507, 2258.9363, 2273.2622
10, Owner 10, 2273.2622, 2365.5115, 2432.2, 2509.0278
